Source,Target,Weight
41,17,5.0
41,20,5.5
41,22,2.167
41,23,2.167
41,25,2.2
41,27,6.0
41,28,0.5
41,29,0.167
41,30,3.2
41,32,4.143
41,33,0.143
41,34,1.25
41,38,2.333
41,39,9.143
41,42,2.333
41,45,0.2
41,46,0.333
41,47,1.333
41,48,3.25
41,49,1.25
41,50,2.2
41,51,0.5
41,52,0.125
41,54,0.333
41,56,0.167
41,58,1.0
41,59,0.5
41,60,0.5
41,61,0.25
41,62,0.2
41,63,0.25
42,1,2.0
42,6,0.143
42,12,0.167
42,16,4.25
42,17,0.25
42,20,0.333
42,22,6.2
42,23,0.143
42,25,19.167
42,27,3.5
42,28,7.0
42,29,2.143
42,30,5.167
42,32,5.125
42,33,0.125
42,34,11.2
42,38,18.5
42,39,0.25
42,41,2.333
42,45,0.5
42,46,0.25
42,47,0.167
42,48,0.2
42,49,0.2
42,50,0.167
42,51,2.333
42,52,1.111
42,54,0.25
42,56,0.333
42,58,0.5
42,59,0.2
42,60,1.0
42,61,0.2
42,62,0.25
42,63,0.333
45,1,1.0
45,6,0.2
45,12,0.25
45,16,1.167
45,17,0.167
45,20,1.333
45,22,14.333
45,23,1.2
45,25,3.167
45,27,0.25
45,28,2.333
45,29,2.2
45,30,0.25
45,32,12.167
45,33,1.167
45,34,3.333
45,38,0.5
45,39,7.5
45,41,0.2
45,42,0.5
45,46,0.5
45,47,0.125
45,48,0.2
45,49,2.333
45,50,0.25
45,51,1.2
45,52,0.143
45,54,0.25
45,56,1.0
45,58,2.25
45,59,0.143
45,60,0.333
45,61,0.143
45,62,0.5
45,63,1.0
46,1,0.333
46,6,0.333
46,12,1.5
46,16,1.25
46,17,0.25
46,20,4.0
46,22,2.333
46,23,9.333
46,25,0.25
46,27,2.5
46,28,4.333
46,29,1.333
46,30,4.5
46,32,2.25
46,33,1.25
46,34,13.0
46,38,0.5
46,39,0.25
46,41,0.333
46,42,0.25
46,45,0.5
46,47,0.167
46,48,0.333
46,49,2.0
46,50,1.5
46,51,1.333
46,52,1.2
46,54,0.5
46,56,0.333
46,58,0.25
46,59,0.2
46,60,0.2
46,61,0.2
46,62,0.5
46,63,1.0
47,1,0.143
47,6,0.333
47,12,0.167
47,16,0.5
47,17,0.5
47,20,1.2
47,22,0.111
47,23,3.143
47,25,0.5
47,27,0.25
47,28,2.2
47,29,1.2
47,30,5.25
47,32,1.167
47,33,2.25
47,34,0.143
47,38,0.167
47,39,2.1
47,41,1.333
47,42,0.167
47,45,0.125
47,46,0.167
47,48,0.333
47,49,0.2
47,50,0.125
47,51,0.333
47,52,0.2
47,54,0.25
47,56,0.111
47,58,0.25
47,59,1.0
47,60,0.2
47,61,1.0
47,62,0.125
47,63,0.143
48,1,0.25
48,6,0.5
48,12,0.333
48,16,2.0
48,17,0.333
48,20,4.5
48,22,1.167
48,23,0.25
48,25,4.0
48,27,1.333
48,28,2.25
48,29,5.5
48,30,3.0
48,32,6.333
48,33,1.333
48,34,1.25
48,38,3.333
48,39,0.143
48,41,3.25
48,42,0.2
48,45,0.2
48,46,0.333
48,47,0.333
48,49,3.5
48,50,0.2
48,51,0.5
48,52,1.25
48,54,1.0
48,56,0.167
48,58,0.2
48,59,0.5
48,60,0.167
48,61,0.5
48,62,0.2
48,63,0.25
49,1,0.25
49,6,0.5
49,12,1.0
49,16,1.333
49,17,0.333
49,20,6.5
49,22,4.25
49,23,5.5
49,25,0.333
49,27,6.333
49,28,2.25
49,29,1.5
49,30,12.0
49,32,0.333
49,33,1.333
49,34,0.5
49,38,0.333
49,39,0.2
49,41,1.25
49,42,0.2
49,45,2.333
49,46,2.0
49,47,0.2
49,48,3.5
49,50,4.333
49,51,0.5
49,52,0.25
49,54,1.0
49,56,0.25
49,58,0.2
49,59,0.25
49,60,0.167
49,61,0.25
49,62,0.333
49,63,0.5
50,1,0.2
50,6,0.2
50,12,0.5
50,16,0.167
50,17,0.167
50,20,0.333
50,22,1.0
50,23,1.0
50,25,0.167
50,27,0.25
50,28,2.2
50,29,1.333
50,30,0.25
50,32,1.5
50,33,0.25
50,34,4.0
50,38,0.25
50,39,2.5
50,41,2.2
50,42,0.167
50,45,0.25
50,46,1.5
50,47,0.125
50,48,0.2
50,49,4.333
50,51,0.2
50,52,1.333
50,54,0.25
50,56,0.333
50,58,0.167
50,59,0.143
50,60,0.143
50,61,0.143
50,62,0.5
50,63,0.333
51,1,0.25
51,6,0.25
51,12,0.333
51,16,1.0
51,17,1.0
51,20,0.5
51,22,0.167
51,23,0.25
51,25,1.333
51,27,1.0
51,28,3.5
51,29,3.25
51,30,2.333
51,32,4.2
51,33,5.2
51,34,1.25
51,38,1.333
51,39,0.143
51,41,0.5
51,42,2.333
51,45,1.2
51,46,1.333
51,47,0.333
51,48,0.5
51,49,0.5
51,50,0.2
51,52,0.167
51,54,2.0
51,56,0.167
51,58,0.333
51,59,0.5
51,60,0.25
51,61,0.5
51,62,0.2
51,63,0.25
52,1,0.125
52,6,0.5
52,12,0.333
52,16,0.2
52,17,0.143
52,20,0.167
52,22,0.25
52,23,0.5
52,25,1.333
52,27,8.143
52,28,0.125
52,29,10.5
52,30,1.333
52,32,3.0
52,33,2.0
52,34,0.25
52,38,1.143
52,39,0.2
52,41,0.125
52,42,1.111
52,45,0.143
52,46,1.2
52,47,0.2
52,48,1.25
52,49,0.25
52,50,1.333
52,51,0.167
52,54,0.2
52,56,0.167
52,58,0.111
52,59,0.167
52,60,0.1
52,61,0.25
52,62,0.2
52,63,0.167
54,1,0.333
54,6,0.333
54,12,0.5
54,16,0.5
54,17,0.5
54,20,1.0
54,22,0.2
54,23,0.333
54,25,1.5
54,27,4.5
54,28,0.333
54,29,2.333
54,30,8.5
54,32,1.25
54,33,3.25
54,34,0.333
54,38,0.5
54,39,0.167
54,41,0.333
54,42,0.25
54,45,0.25
54,46,0.5
54,47,0.25
54,48,1.0
54,49,1.0
54,50,0.25
54,51,2.0
54,52,0.2
54,56,0.2
54,58,0.25
54,59,0.333
54,60,0.2
54,61,0.333
54,62,0.25
54,63,0.333
56,1,0.5
56,6,0.167
56,12,0.333
56,16,0.143
56,17,0.143
56,20,0.25
56,22,0.5
56,23,2.25
56,25,1.143
56,27,0.2
56,28,1.25
56,29,5.25
56,30,0.2
56,32,1.2
56,33,5.2
56,34,3.5
56,38,0.333
56,39,2.0
56,41,0.167
56,42,0.333
56,45,1.0
56,46,0.333
56,47,0.111
56,48,0.167
56,49,0.25
56,50,0.333
56,51,0.167
56,52,0.167
56,54,0.2
56,58,0.2
56,59,0.125
56,60,0.25
56,61,0.125
56,62,1.0
56,63,0.5
58,1,0.333
58,6,0.143
58,12,0.167
58,16,0.25
58,17,0.5
58,20,0.333
58,22,0.2
58,23,0.143
58,25,0.167
58,27,2.5
58,28,2.0
58,29,1.143
58,30,0.167
58,32,1.125
58,33,3.125
58,34,0.2
58,38,1.5
58,39,0.167
58,41,1.0
58,42,0.5
58,45,2.25
58,46,0.25
58,47,0.25
58,48,0.2
58,49,0.2
58,50,0.167
58,51,0.333
58,52,0.111
58,54,0.25
58,56,0.2
58,59,0.333
58,60,1.0
58,61,0.2
58,62,0.25
58,63,0.333
59,1,0.167
59,6,0.25
59,12,0.2
59,16,1.0
59,17,1.0
59,20,0.25
59,22,0.125
59,23,0.167
59,25,0.333
59,27,0.333
59,28,1.25
59,29,2.25
59,30,5.333
59,32,1.2
59,33,4.2
59,34,1.167
59,38,0.2
59,39,0.111
59,41,0.5
59,42,0.2
59,45,0.143
59,46,0.2
59,47,1.0
59,48,0.5
59,49,0.25
59,50,0.143
59,51,0.5
59,52,0.167
59,54,0.333
59,56,0.125
59,58,0.333
59,60,0.25
59,61,0.5
59,62,0.143
59,63,0.167
60,1,0.5
60,6,0.125
60,12,0.143
60,16,0.2
60,17,0.333
60,20,0.25
60,22,0.167
60,23,0.125
60,25,0.143
60,27,0.333
60,28,0.5
60,29,1.125
60,30,0.143
60,32,0.111
60,33,1.111
60,34,0.167
60,38,0.333
60,39,0.2
60,41,0.5
60,42,1.0
60,45,0.333
60,46,0.2
60,47,0.2
60,48,0.167
60,49,0.167
60,50,0.143
60,51,0.25
60,52,0.1
60,54,0.2
60,56,0.25
60,58,1.0
60,59,0.25
60,61,0.167
60,62,0.2
60,63,0.25
61,1,0.167
61,6,0.5
61,12,0.2
61,16,1.0
61,17,0.333
61,20,0.25
61,22,0.125
61,23,0.167
61,25,1.0
61,27,4.333
61,28,0.25
61,29,3.25
61,30,7.333
61,32,3.2
61,33,1.333
61,34,2.167
61,38,0.2
61,39,0.111
61,41,0.25
61,42,0.2
61,45,0.143
61,46,0.2
61,47,1.0
61,48,0.5
61,49,0.25
61,50,0.143
61,51,0.5
61,52,0.25
61,54,0.333
61,56,0.125
61,58,0.2
61,59,0.5
61,60,0.167
61,62,0.143
61,63,0.167
62,1,0.333
62,6,0.2
62,12,0.5
62,16,0.167
62,17,0.167
62,20,0.333
62,22,1.0
62,23,0.333
62,25,0.167
62,27,0.25
62,28,0.333
62,29,1.333
62,30,0.25
62,32,0.25
62,33,2.25
62,34,1.0
62,38,0.5
62,39,0.5
62,41,0.2
62,42,0.25
62,45,0.5
62,46,0.5
62,47,0.125
62,48,0.2
62,49,0.333
62,50,0.5
62,51,0.2
62,52,0.2
62,54,0.25
62,56,1.0
62,58,0.25
62,59,0.143
62,60,0.2
62,61,0.143
62,63,1.0
63,1,0.5
63,6,0.25
63,12,0.333
63,16,0.2
63,17,0.2
63,20,0.5
63,22,0.5
63,23,0.25
63,25,0.2
63,27,1.333
63,28,0.5
63,29,0.25
63,30,2.333
63,32,2.2
63,33,0.2
63,34,0.5
63,38,1.0
63,39,0.333
63,41,0.25
63,42,0.333
63,45,1.0
63,46,1.0
63,47,0.143
63,48,0.25
63,49,0.5
63,50,0.333
63,51,0.25
63,52,0.167
63,54,0.333
63,56,0.5
63,58,0.333
63,59,0.167
63,60,0.25
63,61,0.167
63,62,1.0
