Population Over Time,Occupied Land Capacity,All Land Capacity,Food Storage Over Time,Average Household Fertility,Average Age Over Time,Average Life Span Over Time,Accumulated Population,Gini Coefficients,Eigenvalue
311,116.33289861403011,116.33289861403011,17627.319369368222,1.4841966610302504,21.286173633440516,3.0,1852,0.5168637900383386,
311,112.56466620239455,112.56466620239455,18094.689516376293,1.5070939513733965,22.286173633440516,3.0,1852,0.5105913246941105,
311,110.26973095980712,110.26973095980712,18310.65030794434,1.578924843876648,23.286173633440516,3.0,1852,0.5195528062922601,
311,108.91663664857613,108.91663664857613,14169.874204380561,1.5775905798059475,24.286173633440516,3.0,1852,0.5331939353502171,
311,107.67053085047745,107.67053085047745,16056.338541159714,1.6293701581903306,25.286173633440516,3.0,1852,0.4926212227269028,
311,107.68089321225393,107.68089321225393,17124.45813544188,1.5783374764713198,26.286173633440516,3.0,1852,0.48694902861050743,
311,108.19975082650983,108.19975082650983,15788.913840567539,1.540642834907906,27.286173633440516,3.0,1852,0.5397712621093178,
311,108.18124814661827,108.18124814661827,18394.131649887146,1.6151619595518123,28.286173633440516,3.0,1852,0.48461793613448717,
311,108.64535653448894,108.64535653448894,19896.261683819692,1.50048563696773,29.286173633440516,3.0,1852,0.4493372015694214,
311,109.33622593331972,109.33622593331972,18880.756206978785,1.5170130050176989,30.286173633440516,3.0,1852,0.46058561268214343,
311,109.94848038370404,109.94848038370404,20132.382001143378,1.5079731510560046,31.286173633440516,3.0,1852,0.4405374034662342,
311,110.67332461137742,110.67332461137742,20927.281725119283,1.4766629855106512,32.28617363344051,3.0,1852,0.439165372251109,
311,111.38039987630823,111.38039987630823,20758.371402316752,1.4437579360933563,33.28617363344051,3.0,1852,0.44148945846963256,
311,112.02238022726175,112.02238022726175,21137.845557842797,1.4201197545855693,34.28617363344051,3.0,1852,0.4469247794609846,
308,112.58740018744096,112.58740018744096,19505.399959337687,1.3912758180877258,35.142857142857146,50.0,1852,0.4378613737672105,
300,113.55083713920665,113.55083713920665,19700.145110998685,1.4232599933362509,35.74666666666667,51.0,1852,0.45481662930213057,
283,115.55665542630763,115.55665542630763,19736.49064971113,1.471616613408946,35.87279151943463,51.294117647058826,1852,0.4717654817450414,
271,119.80448842803385,119.80448842803385,20526.449636810572,1.4480063362395528,36.18450184501845,52.416666666666664,1852,0.46450126866794256,
254,125.18561401749162,125.18561401749162,20620.977644589515,1.5203033498597192,36.173228346456696,52.294117647058826,1852,0.4816378146213551,
232,132.48804045272462,132.48804045272462,18582.781706957925,1.6150281581944332,35.71551724137931,52.54545454545455,1852,0.4745702256357195,
213,135.01642660310657,142.03760382053426,17884.239519089217,1.692579468605452,35.25821596244131,53.05263157894737,1852,0.48936298076369794,
205,151.49838893906332,152.99933921716996,19210.72184113301,1.6671271711139344,35.551219512195125,54.375,1852,0.483868308040982,
199,159.29162866655398,161.34755043631742,19621.82872644743,1.5778707709447886,35.98994974874372,55.166666666666664,1852,0.47265367344227177,
197,168.30023893580972,170.89448305248024,19050.523671849976,1.5127063809115204,36.80203045685279,55.5,1852,0.4400298845155061,
197,176.58051103936543,179.69692783253586,20181.71650078305,1.447106225820347,37.80203045685279,55.5,1852,0.4378813877695771,
262,187.51394982606334,187.51394982606334,19283.0802632764,0.9594364442365707,28.782442748091604,51.5,1919,0.4454411726897978,
262,176.91663373173452,176.91663373173452,18914.703781848068,0.8795673330219385,29.782442748091604,51.5,1919,0.44517313312144413,
261,171.03967869101663,171.03967869101663,17834.872180200884,0.7658940651086231,30.704980842911876,51.0,1919,0.46474124895478813,
260,168.25642870504547,168.25642870504547,17135.861428812324,0.6955180120491594,31.634615384615383,50.0,1919,0.4927018175631524,
257,167.28253741319028,167.28253741319028,15918.837732485888,0.6635395869781597,32.42801556420233,50.333333333333336,1919,0.49245699171725715,
250,167.87097050865046,167.87097050865046,15134.780637361255,0.5890919225003219,32.932,51.142857142857146,1919,0.4902188916430337,
237,163.81061519335665,170.19207716224312,13528.199109626767,0.5558465455782219,32.9662447257384,51.53846153846154,1919,0.5165177211986783,
222,172.706917527305,174.24402903523196,13433.154465977563,0.4955097451117573,32.76126126126126,51.8,1919,0.522949372108669,
208,177.10192667807752,179.1929248407667,13156.081809635794,0.47314170923098164,32.52884615384615,52.07142857142857,1919,0.5485494871753326,
193,180.4002643595297,185.37308279699042,10379.291513874621,0.4678636701909307,32.07253886010363,52.266666666666666,1919,0.5272850590433396,
180,179.36363351355786,192.69907790007653,9272.697286361867,0.43138144785813043,31.655555555555555,52.69230769230769,1919,0.5014458772105593,
184,183.9534532932929,199.3484086535572,14857.360259382072,0.3877292384401225,27.070652173913043,52.76470588235294,1940,0.4114067810470647,
186,197.29993381529874,202.57327385057818,18495.629854030816,0.3285776564718063,24.00537634408602,53.84615384615385,1955,0.4068056833537797,
177,193.60816137228903,203.87269652242975,17758.137876698907,0.2953453937694897,23.55367231638418,53.55555555555556,1955,0.4133425201439474,
206,200.34959252620973,207.2359480712854,18414.03161537098,0.7339603921902178,19.825242718446603,52.4,1989,0.4322950848297245,
221,189.53650411486376,202.08323355129943,19249.7393994174,0.6155642301570491,18.705882352941178,39.0,2008,0.46843872042693,
238,190.80428627556537,196.0579452874469,18863.991827301455,0.5301098582889032,18.07983193277311,52.0,2026,0.4941252072279986,
237,178.96168989766434,185.2577391391894,17046.499244537474,0.5020364903642818,18.932489451476794,54.0,2026,0.5117140018112784,
237,170.14989365996854,178.31115558538312,15643.4114646305,0.4737966887212492,18.641350210970465,51.0,2032,0.5515547520248936,
229,167.6610035931329,173.56804793591547,13289.822380320185,0.8432059711042833,18.51528384279476,51.875,2032,0.5573782805632057,
230,160.28506076454087,171.78655837133348,12878.426872391257,0.8015306742970304,18.526086956521738,52.0,2037,0.5879837258531738,
229,161.10059808659454,171.20229403039775,10322.308195372549,0.7796472924174302,18.275109170305676,51.0,2042,0.6241485814632308,
222,148.46455394340396,170.1590324938909,11099.84495623475,0.8235328566565685,18.26126126126126,51.42857142857143,2042,0.6300717245647504,
223,157.64951623529112,170.62597733479984,12560.795606244032,0.8152550591821233,17.52914798206278,52.42857142857143,2050,0.6239268005176236,
212,161.16245801775023,171.44640961850405,12043.896223478532,0.8732041324472247,16.754716981132077,52.72727272727273,2050,0.6492422856116284,
217,158.76212028903475,172.18982630234262,12992.863729048102,0.9958716837105009,15.400921658986174,52.75,2063,0.5807000042758347,
228,166.87113696614867,173.9759610083831,12883.165441490282,1.0153525559504535,15.144736842105264,53.0,2076,0.5416560473502445,
235,165.82513742284365,170.82810930150683,14793.771486265812,0.9850275151888035,14.748936170212765,53.75,2087,0.5131805066658155,
246,163.07762701091397,169.9700382418157,14459.546623814516,1.1322736290613589,14.825203252032521,54.0,2099,0.531208567588517,
246,164.5410649228534,168.6500468063636,14320.15812368069,1.1008468650188223,15.825203252032521,54.0,2099,0.49229038967940686,
263,164.68323060752755,166.283728155227,15142.569860192058,1.2482408057597225,15.737642585551331,54.0,2116,0.509148173698664,
263,159.4859827743884,161.63846539565685,15595.12614054139,1.2623177489450865,16.73764258555133,54.0,2116,0.518809622666777,
263,156.40352185755714,159.09143000018756,16673.833057066637,1.3120682992376562,17.73764258555133,54.0,2116,0.5149994747762024,
280,157.9942752604962,157.9942752604962,15472.78927401741,1.3525405519393001,17.6,54.0,2133,0.5329009226053846,
280,152.3439192809907,152.3439192809907,15877.677406693745,1.3595555915878499,18.6,54.0,2133,0.5237033049600069,
280,148.84126850398704,148.84126850398704,16208.126258699416,1.4752965692627653,19.6,54.0,2133,0.5609424357623826,
280,131.778712979579,146.47176698955641,14500.596630213708,1.4691623207436932,20.6,54.0,2133,0.5684534931402871,
300,144.24387025050893,145.1393959160115,15162.978550875929,1.4207978558173007,20.16,54.0,2153,0.5518556775878197,
300,133.68298102646176,135.15164092199927,16462.679923772426,1.396467642687833,21.16,54.0,2153,0.5317506269447769,
300,128.01738284379184,130.04198294246322,17588.331715208198,1.3807992582718802,22.16,54.0,2153,0.49969808710272495,
300,114.22984279568053,127.50756986014804,15258.447804538398,1.4818443268342856,23.16,54.0,2153,0.5000275451716705,
319,124.51438184884951,125.41023954753899,15945.757264081698,1.3785063661863193,22.721003134796238,54.0,2172,0.4788375043515137,
319,111.79588824427125,113.26487021200005,17741.109074488537,1.5012421563828462,23.721003134796238,54.0,2172,0.4806090652498756,
319,105.975398074451,108.00031058314794,17760.773349028495,1.4461246132413204,24.721003134796238,54.0,2172,0.5341225465797365,
319,102.37144240108483,104.93560753452087,20245.610491947355,1.41324322457673,25.721003134796238,54.0,2172,0.5026645019635808,
334,104.02005657297619,104.02005657297619,19431.951500979336,1.3249229843910508,25.520958083832337,54.0,2187,0.5144050164949007,
334,100.17841677610355,100.17841677610355,16413.69631492183,1.3349663185011296,26.520958083832337,54.0,2187,0.49926234947235987,
334,97.90115866484453,97.90115866484453,15794.043213781508,1.431709509491627,27.520958083832337,54.0,2187,0.5365894679329608,
